,Laptop Name,Price,Links
0,Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD - Windows 10 - Silver,"GH₵ 1,622.40",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
1,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 1,889.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
2,Lenovo V14-IGL -14.0″ - Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey,"GH₵ 2,589.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
3,"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
4,Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 8,900.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
5,Hp Laptop - Intel Celeron Core 2 Duo - 4G RAM - 500GB HDD - 15.6” - Windows10 - Silver,"GH₵ 1,656.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
6,"Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 4GB RAM -15.6"" - Windows 10 - Black","GH₵ 2,250.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
7,Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUE,"GH₵ 2,950.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
8,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 2,294.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
9,Hp 15 Notebook Laptop -15.6'' - Intel® Celeron® 500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,789.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
10,"Lenovo IdeaPad 3 15IGL05 81WQ Intel Celeron N4020 Dual Core - 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Platinum Grey","GH₵ 2,498.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
11,"Lenovo IdeaPad 3 15ITL6 - Intel Core i5 - 11th Generation 15.6"" Touchscreen - 8GB RAM - 256GB SSD - Grey","GH₵ 4,399.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
12,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 3,570.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
13,"Hp ProBook 440 G8 - 14"" - Intel Core i7-1165G7 - 512SSD - 16GB RAM - Windows 10 -Silver","GH₵ 9,200.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
14,"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -Silver","GH₵ 9,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
15,Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 2,698.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
16,Hp Laptop 15-dw1213nia -15.6'' - Intel Celeron N4020 - 500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,435.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
17,Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - Silver,"GH₵ 5,000.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
18,"360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)",GH₵ 499.00,https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
19,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 - Iron Gray","GH₵ 3,100.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
20,Hp Laptop 17.3 inch - AMD Athlon Silver 3050U - 4GB RAM - 256GB SSD - Windows 10 - Silver,"GH₵ 2,999.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
21,"Lenovo Thinkpad THINKPAD T490s 14"" Notebook - Core i7-8565u- 16GB RAM - 512GB SSD - Black","GH₵ 10,850.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
22,Hp Notebook - 15-da2174nia - 10th Gen Intel Core i5 10210U - 1TB HDD - 8GB RAM - Windows 10 - Black,"GH₵ 3,990.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
23,"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 11 Pro - Iron Gray","GH₵ 2,490.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
24,Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 5,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
25,Hp Pavilion 15- EG1053CL - Touch screen Intel Core i5-11th Gen.12GB RAM 512GB SSD Win 11 - Silver,"GH₵ 5,299.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
26,Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 6,300.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
27,"Hp 250 G8 Notebook Laptop, Intel Core i5, 1TB HDD, 4GB RAM, Windows 10","GH₵ 3,799.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
28,"Hp ProBook 650 G1 - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black","GH₵ 2,750.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
29,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 12GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 3,490.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
30,Apple MacBook Pro - 256GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
31,Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 129.00,https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
32,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 2,789.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
33,"Hp Envy x360 Core i5 Up to 4.2 GHz Convertible Laptop - 8G RAM - 256G SSD - 13.3"" Touch - Pale Gold","GH₵ 7,215.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
34,"Hp Omen Notebook Full HD Touch Screen 15.6"" - Intel Core i7 - 16GB RAM - 512GB SSD - Black","GH₵ 20,789.65",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
35,"Hp 14-CF2187NIA 10th Gen Intel Core i3 - 1TB HDD - 4GB RAM - 14.0"" - Windows 10 - Black","GH₵ 2,899.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
36,"Hp Notebook 15DY1076NR - 15.6"" - 10th Gen Core i5-1035G1 - 12GB RAM - 256GB SSD - Windows 10 - Silver","GH₵ 4,266.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
37,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray","GH₵ 3,889.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
38,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 2,950.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
39,Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
40,Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,"GH₵ 6,990.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
41,"Hp ProBook 450 Notebook - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black","GH₵ 2,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
42,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 2,299.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
43,"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
44,Hp Laptop 14 inch Touchscreen - AMD 3020e - 4GB RAM - 64GB eMMC Storage - Windows 10 - Silver,"GH₵ 2,499.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
45,Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - Silver,"GH₵ 3,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
46,Hp Notebook 15-dw1197nia Intel Core i3 – 4GB RAM – 1TB HDD – 15.6” LED Screen,"GH₵ 3,373.50",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
47,"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
